Top,Jungle,Mid,Bot,Support,win / loss
Shen,Taliyah,Akali,Lucian,Taric,loss
Ornn,LeeSin,Sylas,Jhin,Soraka,loss
Yone,FiddleSticks,Tristana,MissFortune,Nautilus,loss
Kennen,Viego,Cassiopeia,Sivir,Seraphine,loss
Aatrox,Talon,Vex,Sivir,Yuumi,loss
Jax,Talon,JarvanIV,Karthus,Nautilus,loss
Neeko,Belveth,Akali,Kaisa,Nautilus,loss
Singed,Sejuani,Tryndamere,Zeri,Yuumi,loss
Neeko,Shaco,Sylas,Kalista,Nautilus,loss
Jayce,LeeSin,Sylas,Ezreal,Nautilus,loss
Rengar,MasterYi,Rumble,Ashe,Karthus,loss
Akali,Rengar,Galio,Caitlyn,Nautilus,loss
Fiora,Karthus,Irelia,Twitch,Brand,loss
Aatrox,Nocturne,Sylas,Samira,Nautilus,loss
Fiora,Khazix,Karthus,Draven,Janna,loss
Aatrox,Taliyah,Qiyana,Caitlyn,Janna,loss
Fiora,Belveth,Viktor,Draven,Karthus,loss
Darius,Ivern,Azir,Caitlyn,Seraphine,loss
Renekton,Karthus,Yasuo,Varus,Senna,loss
Aatrox,Nunu,Zoe,Draven,Lulu,loss
Tryndamere,MasterYi,Sejuani,Twitch,Rakan,loss
,,,,,loss
,,,,,loss
Fiora,Udyr,Kennen,Tristana,Amumu,loss
Jayce,Belveth,Kennen,Twitch,Alistar,loss
,,,,,loss
,,,,,loss
,,,,,loss
,,,,,loss
,,,,,loss
,,,,,loss
,,,,,loss
,,,,,loss
Gangplank,Graves,Syndra,Kaisa,Thresh,loss
Vayne,MasterYi,Singed,Kaisa,Maokai,loss
Ornn,Graves,Akali,MissFortune,Nautilus,loss
Aatrox,Karthus,Rammus,Samira,Rell,loss
Rammus,Lillia,Sett,Kaisa,Nautilus,loss
