Top,Jungle,Mid,Bot,Support,win / loss
Jayce,Evelynn,Sion,Jhin,Amumu,win
Gnar,Sejuani,Syndra,MissFortune,Amumu,win
Vayne,Zac,Viktor,Ezreal,Aatrox,win
Sejuani,Evelynn,Irelia,Kaisa,Amumu,win
Fiora,LeeSin,Sylas,MissFortune,Amumu,win
Fiora,Khazix,Anivia,Sivir,Poppy,win
Riven,Chogath,Sett,Rengar,Ivern,win
Kled,Trundle,Galio,Kaisa,Amumu,win
Fiora,Skarner,Akali,Samira,Amumu,win
Kled,Hecarim,Zoe,Kaisa,Ashe,win
Aatrox,Nidalee,Syndra,Jinx,Blitzcrank,win
Renekton,Belveth,Viktor,Kaisa,Braum,win
Yone,LeeSin,Syndra,Kalista,Leona,win
Jayce,Belveth,Syndra,Neeko,Zilean,win
Darius,Talon,Sion,Twitch,Heimerdinger,win
Fiora,Kindred,Vex,Kaisa,Nautilus,win
Camille,Viego,Diana,Caitlyn,Lux,win
Cassiopeia,Nidalee,Sion,Kaisa,Amumu,win
Shen,Poppy,Irelia,Twitch,Brand,win
Fiora,JarvanIV,Sylas,Caitlyn,Amumu,win
Aatrox,Graves,Syndra,Swain,Nautilus,win
,,,,,win
,,,,,win
Sylas,Hecarim,Orianna,MissFortune,Renata,win
Aatrox,Ekko,Yone,Lucian,Nami,win
,,,,,win
,,,,,win
,,,,,win
,,,,,win
,,,,,win
,,,,,win
,,,,,win
,,,,,win
Poppy,Kindred,Talon,Seraphine,,win
Kayle,Graves,Talon,Twitch,Janna,win
Teemo,Lillia,Ahri,Ashe,Braum,win
Renekton,Trundle,Seraphine,Kaisa,Gragas,win
Aatrox,Belveth,Taliyah,Twitch,Soraka,win
