row_name,Aatrox,Ahri,Akali,Akshan,Alistar,Amumu,Anivia,Annie,Aphelios,Ashe,AurelionSol,Azir,Bard,Belveth,Blitzcrank,Braum,Brand,Caitlyn,Camille,Cassiopeia,Chogath,Corki,Darius,Diana,DrMundo,Draven,Ekko,Elise,Evelynn,Ezreal,FiddleSticks,Fiora,Fizz,Galio,Gangplank,Garen,Gnar,Graves,Gragas,Gwen,Hecarim,Heimerdinger,Illaoi,Irelia,Ivern,Janna,JarvanIV,Jax,Jayce,Jhin,Jinx,KSante,Kaisa,Kalista,Karthus,Karma,Kassadin,Katarina,Kayle,Kayn,Kennen,Khazix,Kindred,Kled,KogMaw,Leblanc,LeeSin,Leona,Lillia,Lissandra,Lucian,Lulu,Lux,Malzahar,Malphite,Maokai,MasterYi,MissFortune,MonkeyKing,Morgana,Mordekaiser,Nami,Nasus,Nautilus,Neeko,Nidalee,Nilah,Nocturne,Nunu,Olaf,Orianna,Ornn,Pantheon,Poppy,Pyke,Qiyana,Quinn,Rakan,Rammus,RekSai,Rell,Renekton,Rengar,Renata,Riven,Rumble,Ryze,Samira,Sejuani,Senna,Seraphine,Sett,Shaco,Shen,Shyvana,Singed,Sion,Sivir,Skarner,Sona,Soraka,Swain,Sylas,Syndra,TahmKench,Talon,Taliyah,Taric,Teemo,Thresh,Tristana,Trundle,Tryndamere,Twitch,TwistedFate,Udyr,Urgot,Varus,Vayne,Veigar,Velkoz,Vex,Vi,Viego,Viktor,Vladimir,Volibear,Warwick,Xayah,Xerath,XinZhao,Yasuo,Yone,Yorick,Yuumi,Zac,Zed,Zeri,Ziggs,Zilean,Zoe,Zyra
Aatrox,,1.0,0.5,0.0,1.0,0.0,0.0,,0.333,1.0,,0.0,0.667,0.0,0.5,1.0,,0.2,1.0,1.0,,,,,,0.6,0.5,1.0,1.0,0.571,1.0,,,0.333,1.0,,,0.857,1.0,,0.75,0.5,,,0.0,,0.0,,1.0,1.0,1.0,0.0,0.6,1.0,0.5,0.571,,0.667,,0.5,1.0,0.0,0.25,,,0.0,0.75,,1.0,,0.0,0.167,0.5,,,0.667,,,1.0,,,0.5,1.0,0.0,0.5,1.0,1.0,,1.0,,,,0.0,,1.0,1.0,,0.0,0.0,,0.667,,0.5,1.0,,0.5,1.0,0.5,0.5,0.0,0.75,0.5,1.0,,,0.5,,1.0,,0.5,1.0,1.0,0.571,0.5,,0.667,0.0,1.0,,1.0,0.667,,,0.25,,0.5,,0.667,0.0,,,1.0,,0.25,1.0,,,,,0.0,,0.5,0.5,,0.8,0.5,0.0,,,1.0,0.0,

















































































































Ahri,1.0,,0.0,,1.0,,,,0.0,0.5,,,0.5,0.0,0.0,,,1.0,1.0,,,,0.0,,,1.0,1.0,1.0,,0.0,1.0,1.0,,,1.0,,,1.0,1.0,,,0.667,,,,0.0,1.0,0.0,1.0,,0.0,0.333,0.5,,,1.0,,,,1.0,,1.0,0.5,,,,,,,,,0.0,0.0,,,,,0.0,1.0,0.0,,0.5,1.0,0.0,,1.0,,,,,,1.0,,0.0,0.5,,,0.0,,,,,1.0,,1.0,,,,0.5,1.0,,1.0,0.0,0.0,,0.0,0.0,1.0,,,,1.0,,,1.0,1.0,,,,1.0,0.0,0.0,,1.0,,1.0,,0.75,1.0,1.0,,,0.0,0.0,,,1.0,,0.0,,1.0,,0.0,,1.0,,,,,,,


















































Akali,0.5,0.0,,1.0,0.0,0.0,,,0.5,0.0,,,1.0,0.5,0.333,1.0,1.0,0.429,0.333,,0.0,,0.5,,,,0.0,0.0,,0.0,1.0,0.5,,,,,0.0,0.667,,,0.0,0.0,,0.5,,,0.0,0.556,1.0,,,1.0,0.75,0.5,1.0,0.0,,1.0,,0.75,,,0.667,1.0,,,0.5,,,,1.0,0.0,0.333,,,,,,1.0,0.0,1.0,1.0,,0.667,,0.0,0.5,0.0,,0.0,1.0,0.0,,0.667,0.571,,,0.5,0.0,,,,0.333,1.0,0.5,,,0.5,0.5,0.667,1.0,,,,,1.0,0.0,0.0,,0.0,1.0,,0.0,0.5,,0.0,0.0,0.25,1.0,0.0,0.333,1.0,,0.6,,,,0.667,0.0,,,,0.5,0.7,,0.0,,1.0,,0.0,0.0,0.5,0.0,,0.0,,0.5,,0.5,0.0,,


































































































Akshan,0.0,,1.0,,,,,,,0.5,,,,1.0,0.5,0.0,,1.0,,,,,0.0,0.333,,,,0.0,1.0,,1.0,,,,,0.0,,,,,,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,0.0,,1.0,,,,,1.0,,,,0.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,0.0,1.0,,0.0,,,,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,,,0.0,,,,,,,,0.5,,,,1.0,,0.0,,0.0,,,,1.0,,,,,,1.0,,1.0,,0.333,0.0,,,,,,,,,






















Alistar,1.0,1.0,0.0,,,,,,,0.0,,,,0.0,0.0,,,1.0,0.5,,0.0,,,1.0,,0.5,0.5,,,1.0,,,0.0,,1.0,,,0.333,,,0.667,,0.0,,,,,,0.0,,,1.0,0.333,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,1.0,,,,,,,1.0,,,,,,0.0,,0.0,,1.0,,,,1.0,,,1.0,,,1.0,,,,,1.0,0.0,,0.0,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,,1.0,,,,,0.0,,,,0.5,





























Amumu,0.0,,0.0,,,,1.0,,,,,,0.0,0.0,,,,0.5,1.0,,,,1.0,,,0.0,0.0,,,0.0,,1.0,,,,,,1.0,,,,1.0,,1.0,,,,1.0,,,,0.0,0.5,,0.0,,,,,,,,0.0,,,,,,,,,,1.0,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,,1.0,,,,,,,,,0.0,,0.0,1.0,,,1.0,0.0,,,,,,,,,1.0,1.0,1.0,0.0,,0.0,,,,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,1.0,,,,,,1.0,1.0,,,,,























Anivia,0.0,,,,,1.0,,,0.0,,,,,1.0,1.0,,,0.0,1.0,,,,,,,,,,,0.0,0.0,,,1.0,,,,,,0.0,,,,,,,,,,1.0,,0.0,,1.0,,0.0,,,,,,,0.0,,,,,,,,0.0,,0.0,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,,,,0.5,,,,,,0.0,1.0,,,,,,,,,,,,1.0,,,,,0.0,0.0,,,0.0,,,,0.5,,,,1.0,1.0,,,,,,,,,,,,0.0,,,,0.0,1.0,,,,,,

















Annie,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,0.0,,,,,,1.0,,,,,,,1.0,,,,,0.0,,,0.0,,,,,,0.0,0.0,,,,,1.0,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,0.0,,,0.0,,,,,,,









Aphelios,0.333,0.0,0.5,,,,0.0,0.0,,,,0.0,0.0,,,,,,0.0,,,,0.0,,0.0,,0.25,,,,,0.333,,,,,,0.6,0.0,1.0,0.333,0.0,,0.5,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,0.5,,0.333,,0.0,,0.5,0.0,0.0,,,0.75,1.0,1.0,0.0,,0.333,,,,,,,0.5,1.0,,0.0,0.5,,,,,,0.0,0.0,1.0,0.0,,0.333,1.0,0.0,,0.0,0.5,0.5,,0.0,0.0,0.333,,0.0,0.667,,0.667,1.0,,0.5,0.0,0.333,,0.333,0.0,,,,1.0,,0.333,0.333,0.0,,0.0,1.0,,0.167,,0.0,,,,1.0,,,,,,,,0.333,0.333,,,0.0,,,0.0,0.0,0.5,,0.0,1.0,1.0,,,0.5,1.0,






































































Ashe,1.0,0.5,0.0,0.5,0.0,,,,,,,1.0,,1.0,,,,0.667,0.667,1.0,,,1.0,,,1.0,1.0,,1.0,,,0.5,,,0.5,0.0,,0.6,1.0,0.0,0.833,0.5,,0.333,,,0.5,0.5,0.0,,,0.333,1.0,1.0,0.0,,0.5,,,1.0,,1.0,0.75,1.0,0.0,,0.0,,,,0.0,1.0,0.0,,,,,,0.0,0.0,1.0,,,0.0,,,,,0.0,,,1.0,1.0,0.0,,0.0,,,,,,1.0,0.0,0.333,1.0,1.0,0.0,0.5,0.667,1.0,,,0.0,,0.0,,0.0,,,0.0,1.0,1.0,0.667,0.429,,0.0,,,,1.0,1.0,,,1.0,,0.667,,1.0,,,,,0.0,0.5,0.75,,0.0,1.0,1.0,,,,1.0,,1.0,,0.0,,,,,








































































AurelionSol,,,,,,,,,,,,,,,0.5,,,1.0,1.0,,0.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.5,,1.0,,0.0,,1.0,1.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,







Azir,0.0,,,,,,,,0.0,1.0,,,0.0,,,,,1.0,0.0,,,,,,,,,,,1.0,,1.0,,,,,,0.333,0.0,,1.0,1.0,,,,1.0,1.0,1.0,,0.0,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.5,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,0.0,,,0.0,,0.0,0.0,,,,0.0,,,,,,,0.0,1.0,,0.0,1.0,,,,0.5,1.0,1.0,,,,,0.0,,,,,0.5,,,0.0,,,,,,,,0.0,,1.0,,0.0,,0.0,1.0,,,,,0.667,,,,,,,0.5,0.0,0.5,,0.5,,,,,,,






































