Top,Jungle,Mid,Bot,Support
Irelia,Belveth,Karma,Ezreal,Xerath
Yone,Twitch,Swain,,Lux
Sejuani,Udyr,Katarina,Ashe,Pyke
Malphite,Udyr,Karthus,Ezreal,Ashe
Mordekaiser,Rammus,Yasuo,Ezreal,Zyra
Volibear,FiddleSticks,Anivia,Sivir,Lux
Teemo,Trundle,Lux,Caitlyn,Pyke
Jax,Udyr,Malphite,Kalista,Neeko
Vladimir,LeeSin,Garen,Twitch,Blitzcrank
Lillia,Khazix,Chogath,Draven,Morgana
Garen,Belveth,TwistedFate,Draven,Brand
Shen,Belveth,Vladimir,MissFortune,Senna
Yorick,Belveth,Kassadin,Sivir,Swain
Gragas,Nidalee,Zed,Twitch,Lulu
Rengar,Belveth,Karthus,Draven,Thresh
Kled,Zed,Teemo,Lucian,Senna
Trundle,Twitch,Viktor,,Pyke
Illaoi,Amumu,MasterYi,Sivir,Zyra
Vladimir,Evelynn,Veigar,Kaisa,Senna
Quinn,XinZhao,Viktor,Nilah,Alistar
Jax,Rengar,Yone,Draven,Zilean
Pantheon,Brand,Ryze,Caitlyn,Senna
Warwick,Udyr,Ryze,Kalista,Alistar
Kennen,Kindred,Maokai,Syndra,Blitzcrank
Darius,Morgana,Yone,Tristana,Nidalee
Jax,Ekko,Vex,Ezreal,Rakan
Swain,Shaco,Yasuo,Ashe,Renata
Yone,Hecarim,Viktor,Lucian,Nami
Yorick,Rengar,Fizz,Ashe,Sona
Garen,Belveth,Seraphine,Ezreal,Soraka
Rammus,Rengar,Corki,Draven,Renata
Jax,LeeSin,Karma,Zeri,Sona
Garen,Volibear,Ahri,Tristana,Blitzcrank
Darius,Sejuani,Yasuo,Jhin,Morgana
Riven,Volibear,Yasuo,Ezreal,Brand
Garen,Shaco,Azir,Draven,Yuumi
Aatrox,Lillia,Viktor,Twitch,Bard
Fiora,LeeSin,Ryze,Tristana,Seraphine
Camille,Udyr,Ahri,Kaisa,Janna
Ornn,Rengar,Veigar,Caitlyn,Heimerdinger
Rumble,Hecarim,Ekko,Aphelios,Bard
MasterYi,Kayn,Lissandra,Caitlyn,Karma
Fiora,Vi,Fizz,Caitlyn,Bard
Sett,LeeSin,MissFortune,Jhin,Karma
Udyr,Belveth,Sylas,Tristana,Karma
Shen,Udyr,Yasuo,MissFortune,Karma
Fiora,Udyr,Corki,Kaisa,Lulu
Darius,Warwick,Lissandra,Samira,Nautilus
Shaco,MonkeyKing,Xerath,Sivir,Janna
Mordekaiser,Viego,Yasuo,Vayne,Zyra
Illaoi,Kayn,Veigar,Kaisa,Seraphine
Mordekaiser,Belveth,Zoe,Zeri,Yuumi
Yasuo,Zac,Diana,Ashe,Thresh
Fiora,Volibear,TwistedFate,Sivir,Leona
Vladimir,Belveth,Irelia,Draven,Senna
Nasus,Trundle,Shyvana,Kaisa,Rakan
Camille,Volibear,Vex,Jhin,Zyra
Sett,MasterYi,Zed,Kaisa,Brand
Udyr,Evelynn,Viktor,Seraphine,Pyke
Swain,Jax,Zed,Jhin,Pantheon
Darius,Udyr,Veigar,Jinx,Senna
Tristana,Warwick,Xerath,Caitlyn,Senna
Sion,Shaco,Malzahar,Samira,Senna
Heimerdinger,Viego,Tristana,Kalista,Zyra
Heimerdinger,Viego,Tristana,Kalista,Zyra
Nasus,Udyr,Sylas,Tristana,Renata
Sett,Shaco,Vladimir,Draven,Leona
Ornn,Udyr,MissFortune,Jhin,Lux
Kayle,Kayn,Talon,Ezreal,Renata
Camille,RekSai,Tristana,Vex,Seraphine
Rumble,Belveth,Leblanc,Jinx,Pyke
Malphite,Udyr,Viego,Jhin,Seraphine
Urgot,MonkeyKing,Fizz,Samira,Bard
Aatrox,Diana,Garen,Zeri,Yuumi
Chogath,Poppy,Qiyana,Caitlyn,Seraphine
Udyr,Kayn,Azir,Draven,MissFortune
Gangplank,Kindred,Swain,Draven,Soraka
TahmKench,Yone,,Rengar,Yuumi
Kayle,Swain,,Xayah,Soraka
Lillia,Belveth,Zoe,Draven,Zyra
Gangplank,Belveth,Yasuo,Draven,Yuumi
Tryndamere,MonkeyKing,Yasuo,Nilah,Yuumi
Yorick,Pantheon,Kassadin,Jhin,Neeko
Teemo,Kayn,Anivia,Kalista,Lulu
Darius,Elise,Akali,Jhin,Brand
Darius,Heimerdinger,Veigar,Vayne,Thresh
